ANS,AntShares
ARK,Ark
BASH,LuckChain
BAY,BitBay
BCC,BitConnect
BCY,Bitcrystals
BLK,BlackCoin
BCN,Bytecoin
BLOCK,Blocknet
BNT,Bancor
BTC,Bitcoin
BTCD,BitcoinDark
BTS,BitShares
BURST,Burst
CLAM,Clams
CLOAK,CloakCoin
CRW,Crown
DASH,DASH
DBIC,DubaiCoin
DCR,Decred
DGB,DigiByte
DOGE,Dogecoin
EAC,EarthCoin
ECN,E-coin
EMC,Emercoin
EMC2,Einsteinium
ENRG,Energycoin
ETC,Ethereum Classic
ETH,Ethereum
EXP,Expanse
FAIR,FairCoin
FCT,Factom
FRST,FirstCoin
FTC,Feathercoin
GAME,GameCredits
GBYTE,Byteball
GNO,Gnosis
GNT,Golem
GOLOS,Golos
GRC,GridCoin
HEAT,HEAT
IFC,Infinitecoin
IOC,I/O Coin
KMD,Komodo
LBC,LBRY Credits
LEO,LEOcoin
LKK,Lykke
LMC,LoMoCoin
LSK,Lisk
LTC,Litecoin
MIOTA,IOTA
MONA,MonaCoin
MOON,Mooncoin
MUE,MonetaryUnit
MYST,Mysterium
NAV,NAV Coin
NEOS,NeosCoin
NLG,Gulden
NMC,Namecoin
NOTE,DNotes
NVC,Novacoin
NXS,Nexus
NXT,Nxt
OMNI,Omni
PIVX,PIVX
POT,PotCoin
PPC,Peercoin
PPY,Peerplays
RADS,Radium
RBY,Rubycoin
QRK,Quark
RDD,ReddCoin
REP,Augur
SC,Siacoin
SHIFT,Shift
SIB,SIBCoin
SKY,Skycoin
STEEM,Steem
STRAT,Stratis
SYS,SysCoin
UBQ,Ubiq
VIA,Viacoin
VOX,Voxels
VRC,VeriCoin
VTC,Vertcoin
WAVES,Waves
WDC,WorldCoin
XAS,Asch
XBC,Bitcoin Plus
XCP,Counterparty
XDN,DigitalNote
XEM,NEM
XLM,Stellar Lumens
XMR,Monero
XPM,Primecoin
XRP,Ripple
XVG,Verge
XZC,ZCoin
YBC,YbCoin
ZEC,Zcash
